gene	PC	NDC
GCA-000427055-protein637.fasta	1	30
GCA-000831105-protein688.fasta	1	27
GCA-000427055-protein583.fasta	1	29
GCA-000007265-protein1246.fasta	1	27
GCA-000196055-protein1354.fasta	1	30
GCA-000007265-protein990.fasta	1	24
GCA-000689235-protein933.fasta	1	28
GCA-000427055-protein1391.fasta	2	30
GCA-000007265-protein1932.fasta	2	28
GCA-000730215-protein1962.fasta	2	29
GCA-000007265-protein557.fasta	2	25
GCA-001275545-protein96.fasta	2	29
GCA-000196055-protein1347.fasta	4	28
GCA-001266635-protein1152.fasta	4	28
GCA-000730215-protein2131.fasta	4	28
GCA-000730255-protein547.fasta	4	28
GCA-000012705-protein2017.fasta	5	19
GCA-000427075-protein2050.fasta	5	26
GCA-000427035-protein1421.fasta	14	18
GCA-000782855-protein1355.fasta	14	17
