Genome	EXC	INF	LNF	PLOT	NIPH	ALM	ASM
GCA_000007265.1_ASM726v1_genomic.fna	1698	190	1212	0	7	3	18
GCA_000012705.1_ASM1270v1_genomic.fna	871	973	1245	0	15	4	20
GCA_000196055.1_ASM19605v1_genomic.fna	814	1011	1230	0	60	2	11
GCA_000299135.1_ASM29913v1_genomic.fna	1631	138	1325	0	11	4	19
GCA_000302475.2_ASM30247v2_genomic.fna	161	1388	1516	0	6	2	55
GCA_000427035.1_09mas018883_genomic.fna	1158	710	1226	0	15	7	12
GCA_000427055.1_ILRI112_genomic.fna	324	1338	1391	0	11	2	62
GCA_000427075.1_ILRI005_genomic.fna	452	1361	1274	0	16	3	22
GCA_000599965.1_ASM59996v1_genomic.fna	469	1049	1542	0	5	2	61
GCA_000636115.1_ASM63611v1_genomic.fna	1515	0	1545	0	5	2	61
GCA_000689235.1_GBCO_p1_genomic.fna	629	1137	1325	0	14	3	20
GCA_000730215.2_ASM73021v2_genomic.fna	1470	479	1143	0	13	6	17
GCA_000730255.1_ASM73025v1_genomic.fna	1381	421	1291	0	10	4	21
GCA_000782855.1_ASM78285v1_genomic.fna	696	1109	1297	0	7	6	13
GCA_000831105.1_ASM83110v1_genomic.fna	1001	835	1248	0	20	9	15
GCA_000831125.1_ASM83112v1_genomic.fna	1770	73	1246	0	21	6	12
GCA_000831145.1_ASM83114v1_genomic.fna	1775	80	1231	0	20	9	13
GCA_000967445.1_ASM96744v1_genomic.fna	1505	18	1539	0	5	2	59
GCA_001026925.1_ASM102692v1_genomic.fna	1768	62	1267	0	10	5	16
GCA_001190805.1_ASM119080v1_genomic.fna	1770	5	1322	0	9	4	18
GCA_001190825.1_ASM119082v1_genomic.fna	1735	28	1333	0	9	4	19
GCA_001190845.1_ASM119084v1_genomic.fna	1764	7	1326	0	9	4	18
GCA_001190865.1_ASM119086v1_genomic.fna	1481	38	1541	0	7	2	59
GCA_001190885.1_ASM119088v1_genomic.fna	1541	297	1252	0	11	5	22
GCA_001266635.1_ASM126663v1_genomic.fna	465	1317	1314	0	13	5	14
GCA_001275545.2_ASM127554v2_genomic.fna	1523	326	1239	0	20	5	15
GCA_001448985.1_ASM144898v1_genomic.fna	1803	82	1208	0	14	7	14
GCA_001552035.1_ASM155203v1_genomic.fna	1665	85	1340	0	12	2	24
GCA_001592385.1_ASM159238v1_genomic.fna	1810	42	1251	0	6	5	14
GCA_001592425.1_ASM159242v1_genomic.fna	1785	5	1314	0	6	5	13
GCA_001655175.1_ASM165517v1_genomic.fna	1435	95	1532	0	6	2	58
GCA_001683515.1_ASM168351v1_genomic.fna	1829	21	1254	0	6	5	13
