Fasta	Genome	contig	Start	Stop	protID	name	url
GCA-000007265-protein1274.fasta	GCA_000007265	AE009948.1	1319427	1320024	1274	Probable GTP-binding protein EngB	http://purl.uniprot.org/uniprot/Q3K0K1
GCA-000782855-protein2552.fasta	GCA_000782855	CP006910.1	577753	581980	2552	tape measure domain-containing protein	http://purl.uniprot.org/uniparc/UPI0002BAEB5A
GCA-000012705-protein3692.fasta	GCA_000012705	CP000114.1	1650418	1651405	3692	Putative dihydroxyacetone kinase DhaK1b subunit	http://purl.uniprot.org/uniprot/E7S2U1
GCA-001655175-protein1199.fasta	GCA_001655175	CP015976.1	1197653	1198253	1199		
GCA-000007265-protein1810.fasta	GCA_000007265	AE009948.1	1856910	1858224	1810	Cytosine-specific methyltransferase	http://purl.uniprot.org/uniprot/Q8DXI1
GCA-000012705-protein3148.fasta	GCA_000012705	CP000114.1	1092692	1093049	3148	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0E1EH98
GCA-001266635-protein418.fasta	GCA_001266635	CP010319.1	439237	440569	418	PTS galactitol transporter subunit IIC	http://purl.uniprot.org/uniparc/UPI00005BB224
GCA-000689235-protein572.fasta	GCA_000689235	HG939456.1	602953	603592	572	Fibronectin-binding protein	http://purl.uniprot.org/uniprot/A0A0G2Z4R9
GCA-000007265-protein1437.fasta	GCA_000007265	AE009948.1	1493773	1495816	1437	Amidase family protein	http://purl.uniprot.org/uniprot/Q8DYK6
GCA-001266635-protein1176.fasta	GCA_001266635	CP010319.1	1233709	1236061	1176		
GCA-000007265-protein1978.fasta	GCA_000007265	AE009948.1	2018748	2019834	1978	3-dehydroquinate synthase	http://purl.uniprot.org/uniprot/E7S1K3
GCA-000730255-protein1790.fasta	GCA_000730255	CP007632.1	1858915	1859458	1790	Uncharacterized protein	http://purl.uniprot.org/uniprot/G5KDU0
GCA-000427035-protein2410.fasta	GCA_000427035	HF952104.1	637195	637522	2410	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00005C7285
GCA-000689235-protein1563.fasta	GCA_000689235	HG939456.1	1636957	1637440	1563	Putative membrane protein	http://purl.uniprot.org/uniprot/X5KEU6
GCA-001266635-protein580.fasta	GCA_001266635	CP010319.1	596809	597508	580	noncanonical pyrimidine nucleotidase, YjjG family	http://purl.uniprot.org/uniparc/UPI0002B963E8
GCA-000012705-protein4108.fasta	GCA_000012705	CP000114.1	2062057	2063572	4108	ABC transporter, substrate-binding protein, QAT family	http://purl.uniprot.org/uniprot/E7S1D7
GCA-000730215-protein3472.fasta	GCA_000730215	CP007631.2	1528953	1529463	3472		
GCA-000599965-protein1326.fasta	GCA_000599965	CP007482.1	1312358	1312916	1326	Ribosome-recycling factor	http://purl.uniprot.org/uniprot/P66740
GCA-001026925-protein1260.fasta	GCA_001026925	CP010867.1	1328090	1329830	1260	Multidrug ABC transporter ATP-binding protein	http://purl.uniprot.org/uniprot/S9BAU9
GCA-001190805-protein2709.fasta	GCA_001190805	CP011325.1	740541	741192	2709	Glutamine ABC transporter permease	http://purl.uniprot.org/uniprot/A0A1F0CH60
GCA-000730215-protein3336.fasta	GCA_000730215	CP007631.2	1393341	1393707	3336	50S ribosomal protein L7/L12	http://purl.uniprot.org/uniprot/Q3K0K9
GCA-001592385-protein1726.fasta	GCA_001592385	CP010874.1	1765028	1766321	1726	adenylosuccinate synthetase	http://purl.uniprot.org/uniparc/UPI0002BC3420
GCA-000012705-protein4161.fasta	GCA_000012705	CP000114.1	2109897	2110578	4161	Cyclic nucleotide-binding domain protein	http://purl.uniprot.org/uniprot/E7S185
GCA-000427055-protein1341.fasta	GCA_000427055	HF952106.1	1373747	1375112	1341	Membrane protein	http://purl.uniprot.org/uniprot/X5K4N5
GCA-000689235-protein1050.fasta	GCA_000689235	HG939456.1	1109635	1110838	1050	30S ribosomal protein S1	http://purl.uniprot.org/uniprot/F8Y107
GCA-001592385-protein626.fasta	GCA_001592385	CP010874.1	622170	623544	626	LytR family transcriptional regulator	http://purl.uniprot.org/uniprot/A0A0H1TZX3
GCA-001592385-protein1914.fasta	GCA_001592385	CP010874.1	1949662	1951861	1914	Anaerobic ribonucleoside triphosphate reductase	http://purl.uniprot.org/uniprot/F8Y3R4
GCA-001592385-protein1855.fasta	GCA_001592385	CP010874.1	1887785	1888508	1855	Membrane protein	http://purl.uniprot.org/uniprot/A0A0H1XKY0
GCA-000012705-protein3782.fasta	GCA_000012705	CP000114.1	1741824	1743252	3782	Cytochrome D ubiquinol oxidase subunit I	http://purl.uniprot.org/uniprot/S9AQF8
GCA-001592385-protein1808.fasta	GCA_001592385	CP010874.1	1856997	1858653	1808	Histidine kinase	http://purl.uniprot.org/uniprot/A0A0H1NUA6
GCA-000012705-protein4048.fasta	GCA_000012705	CP000114.1	2004240	2005443	4048	Putative ATP synthase F0, A subunit	http://purl.uniprot.org/uniprot/E7S1M7
GCA-000831125-protein3526.fasta	GCA_000831125	CP007571.1	1470861	1472415	3526		
GCA-000599965-protein1851.fasta	GCA_000599965	CP007482.1	1828181	1829207	1851	Tryptophan--tRNA ligase	http://purl.uniprot.org/uniprot/E7S178
GCA-000427075-protein2551.fasta	GCA_000427075	HF952105.1	566175	567039	2551	ImmA/IrrE family metallo-endopeptidase	http://purl.uniprot.org/uniparc/UPI000332E7F5
GCA-000782855-protein2532.fasta	GCA_000782855	CP006910.1	566057	566273	2532	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00005C84B9
GCA-000782855-protein3343.fasta	GCA_000782855	CP006910.1	1416914	1418906	3343	UvrABC system protein B	http://purl.uniprot.org/uniprot/Q8DYL6
GCA-000730215-protein2210.fasta	GCA_000730215	CP007631.2	234912	235152	2210	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0E1EF07
GCA-000196055-protein400.fasta	GCA_000196055	AL732656.1	416457	416889	400	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8CM15
GCA-001026925-protein789.fasta	GCA_001026925	CP010867.1	832541	833243	789	Glucosamine-6-phosphate deaminase	http://purl.uniprot.org/uniprot/P65514
GCA-000007265-protein1797.fasta	GCA_000007265	AE009948.1	1849790	1851503	1797	Prophage LambdaSa2, terminase large subunit, putative	http://purl.uniprot.org/uniprot/Q8DXJ5
GCA-000730215-protein3272.fasta	GCA_000730215	CP007631.2	1324643	1325132	3272		
GCA-000012705-protein2846.fasta	GCA_000012705	CP000114.1	759452	760226	2846	TIGR00245 family protein	http://purl.uniprot.org/uniprot/E7S578
GCA-000831105-protein1360.fasta	GCA_000831105	CP007572.1	1431534	1432884	1360	Glutathione reductase	http://purl.uniprot.org/uniprot/S9B8X0
GCA-000012705-protein3971.fasta	GCA_000012705	CP000114.1	1935836	1936145	3971	RNA-binding protein	http://purl.uniprot.org/uniprot/A0A0E1EPD3
GCA-001592385-protein2028.fasta	GCA_001592385	CP010874.1	2052099	2053332	2028	Arginine deiminase	http://purl.uniprot.org/uniprot/Q3JYE2
GCA-000427075-protein3301.fasta	GCA_000427075	HF952105.1	1295650	1296217	3301	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000332E2DB
GCA-000689235-protein1421.fasta	GCA_000689235	HG939456.1	1499644	1501120	1421	high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG	http://purl.uniprot.org/uniparc/UPI00005C692F
GCA-000730215-protein3351.fasta	GCA_000730215	CP007631.2	1407555	1408005	3351	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8E4L3
GCA-001266635-protein491.fasta	GCA_001266635	CP010319.1	514630	515491	491		
GCA-001592385-protein1811.fasta	GCA_001592385	CP010874.1	1859975	1860725	1811	Phosphate import ATP-binding protein PstB 3	http://purl.uniprot.org/uniprot/Q3JYY5
GCA-000427075-protein3261.fasta	GCA_000427075	HF952105.1	1259766	1260084	3261	PTS system, lactose-specific IIa component	http://purl.uniprot.org/uniprot/E7S1Z3
GCA-000012705-protein3604.fasta	GCA_000012705	CP000114.1	1567337	1568783	3604	Uncharacterized protein	http://purl.uniprot.org/uniprot/S9L265
GCA-000730215-protein2544.fasta	GCA_000730215	CP007631.2	566974	567457	2544	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0E1EGA5
